ano,mes,ceasa,produto,categoria,preco_medio_kg,quantidade_kg,fonte_arquivo,fonte_aba
2024,2,CEASA/ES - Vitória,ALFACE,Hortaliças,5.168500027583162,36254.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-marco-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Alface; Quantidade-Alface
2024,2,CEASA/ES - Vitória,BANANA,Frutas,3.950486943876707,2525137.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-marco-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Banana; Quantidade-Banana
2024,2,CEASA/ES - Vitória,BATATA,Hortaliças,4.709422849968686,3452066.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-marco-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Batata; Quantidade-Batata
2024,2,CEASA/ES - Vitória,CEBOLA,Hortaliças,4.978174440287946,618309.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-marco-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Cebola; Quantidade-Cebola
2024,2,CEASA/ES - Vitória,CENOURA,Hortaliças,5.8686356661590295,866760.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-marco-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Cenoura; Quantidade-Cenoura
2024,2,CEASA/ES - Vitória,LARANJA,Frutas,3.585791435140888,3354918.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-marco-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Laranja; Quantidade-Laranja
2024,2,CEASA/ES - Vitória,MACA,Frutas,8.55030132856977,1784099.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-marco-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Maçã; Quantidade-Maçã
2024,2,CEASA/ES - Vitória,MAMAO,Frutas,3.29,548854.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-marco-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Mamão; Quantidade-Mamão
2024,2,CEASA/ES - Vitória,MELANCIA,Frutas,2.06,1336068.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-marco-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Melancia; Quantidade-Melancia
2024,2,CEASA/ES - Vitória,TOMATE,Hortaliças,5.607031524536255,1342605.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-marco-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Tomate; Quantidade-Tomate
